Var6,Var7,Var13,Var21,Var22,Var24,Var25,Var28,Var35,Var38,Var44,Var51,Var57,Var65,Var72,Var73,Var74,Var76,Var78,Var81,Var83,Var85,Var94,Var109,Var112,Var113,Var119,Var123,Var125,Var126,Var132,Var133,Var134,Var140,Var143,Var144,Var149,Var153,Var160,Var163,Var173,Var181,Var189,Var192,Var193,Var194,Var195,Var196,Var197,Var198,Var199,Var200,Var201,Var202,Var203,Var204,Var205,Var206,Var207,Var208,Var210,Var211,Var212,Var214,Var216,Var217,Var218,Var219,Var220,Var221,Var222,Var223,Var225,Var226,Var227,Var228,Var229,churn
1319.9153943483761,6.792125984251968,1244.979977502812,233.87622662730212,289.2202089817697,4.5086005148607535,96.22810137839039,224.30364113493928,0.7100377945753669,2574736.7712872387,0.1675744775455758,43963.10076254189,3.147831,14.827474690663667,4.182840048950732,8,101.32972440944881,1488971.8359270787,0.5299855491329479,103291.11437697458,19.845347932414406,8.457647843485994,98067.04908670625,60.84600982915984,66.21898621609604,-1588368.0,909.6032616336286,59.77223210315696,28051.4174071991,-18.0,3.501111605157848,2285474.605380169,438029.79468652734,1379.299071991001,0.05835927078701645,11.710754955714888,298170.16010414227,6186848.683414851,38.756447309915515,485944.3632725656,0.0067807914628723875,0.6106325033348154,270.5855227882038,cFHt0GoOh3,RO12,no_value,taul,1K8T,g6No,pro8v8X,FoJylxy,no_value,no_value,s2PJ,9_Y1,rGJy,VpdQ,no_value,me75fM6ugJ,kIsH,uKAI,Mtgm,NhsEn4L,no_value,7WwCtIM,wjMZ,UYBR,no_value,meWVy8V,oslk,DQ3u3MC,no_value,no_value,Qu4f,RAYp,F2FyR07IdsN7I,no_value,-1
707.0,0.0,0.0,20.0,25.0,2.0,0.0,220.08,0.0,10886400.0,0.0,43963.10076254189,4.58214,9.0,4.182840048950732,46,0.0,1612152.0,0.0,235623.9,0.0,0.0,98067.04908670625,8.0,8.0,368150.0,340.0,18.0,153.0,4.0,0.0,2579115.0,0.0,0.0,0.0,9.0,1410633.0,10126960.0,2.0,0.0,0.0,0.0,270.5855227882038,TfiWq69R_D,RO12,SEuy,taul,1K8T,kNzO,hHJdCrr,oZfiYGy20Y,6YE9lmz,smXZ,nyZz,9_Y1,RVjC,09_Q,IYzP,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,Dn3UtKx,mAjbk_S,bru6,UYBR,no_value,h724_jR,oslk,zUldlhv,no_value,kG3k,FSa2,RAYp,F2FyR07IdsN7I,am7c,-1
4389.0,7.0,1632.0,284.0,355.0,6.0,104.0,303.92,0.0,3328620.0,0.0,43963.10076254189,4.413801,9.0,3.0,44,7.0,1927688.0,0.0,41645.1,55.0,14.0,33060.0,64.0,32.0,329831.2,1450.0,138.0,18567.0,-22.0,0.0,4298405.0,686324.0,375.0,0.0,18.0,570878.0,9831000.0,26.0,1463268.0,0.0,0.0,228.0,1qmr4RQxul,RO12,no_value,taul,1K8T,JLbT,tGK9gpP,Vxueejji0f,no_value,no_value,RTc9,9_Y1,z5Ry,VpdQ,zm5i,me75fM6ugJ,kIsH,uKAI,Mtgm,NhsEn4L,no_value,mAja5EA,BXUS,UYBR,FzaX,UF1NvFm,oslk,8Eja5gA,LM8l689qOp,no_value,FSa2,RAYp,F2FyR07IdsN7I,no_value,-1
2205.0,14.0,6524.0,244.0,305.0,2.0,112.0,200.0,0.0,53412.0,0.0,43963.10076254189,1.179235,36.0,6.0,94,91.0,219280.0,0.0,11550.93,20.0,4.0,197844.0,56.0,64.0,-1714700.0,1205.0,42.0,54765.0,-18.0,0.0,1795620.0,103910.0,13980.0,0.0,18.0,57659.0,1819416.0,52.0,13086.0,0.0,0.0,270.5855227882038,gE8Wq6edh4,X2uI6IsGev,SEuy,taul,1K8T,EJC9,SlHrvGQ,3cO76t0,JVHeU1S,smXZ,3uLI,9_Y1,_xpN,VpdQ,lVqb,6C53VA1kCv,kIsH,uKAI,Mtgm,dznt9poYpmHt7,mmRUc0F,jaw4xH8,3E1O,cJvF,FzaX,kM3kgSh,zCkv,fW9GKyZ,LM8l689qOp,kG3k,FSa2,6fzt,F2FcTt7IdMT_v,am7c,-1
749.0,7.0,8256.0,164.0,205.0,4.0,24.0,198.88,0.0,395346.0,0.0,43963.10076254189,6.0053410000000005,9.0,3.0,190,469.0,4504896.0,0.0,30702.9,10.0,10.0,15723.0,56.0,56.0,250400.4,380.0,18.0,3726.0,-0.569915547556417,0.0,8387050.0,171802.0,275.0,0.0,27.0,331541.0,10067360.0,42.0,469998.0,0.0,0.0,270.5855227882038,doHWq69cTy,RO12,SEuy,CuXi4je,1K8T,IGdn,fhk21Ss,FrVBLDn,n0bc4Gb,smXZ,7gzr,9_Y1,Px52,VpdQ,y6dw,7M47J5GA0pTYIFxg5uy,kIsH,uKAI,L84s,Ie_5MZs,YoaHvGh,pMWrZ3Z,DFNm,UYBR,FzaX,4UxGlow,zCkv,catzS2D,LM8l689qOp,kG3k,PM2D,ZI9m,iyHGyLCEkQ,am7c,-1
861.0,7.0,5176.0,36.0,45.0,4.0,0.0,233.44,0.0,0.0,0.0,43963.10076254189,6.644307,9.0,4.182840048950732,178,357.0,10544.0,0.0,57900.6,0.0,4.0,98067.04908670625,40.0,24.0,-1697860.0,185.0,0.0,51660.0,-0.569915547556417,0.0,34385.0,0.0,7125.0,0.0,27.0,31381.0,50712.0,8.0,26898.0,0.0,0.0,270.5855227882038,52Iq9ayE15,AERks4l,no_value,taul,1K8T,z32l,fhk21Ss,xlnT1F8FOA,rM0VWK8,no_value,vNM8,9_Y1,000J,VpdQ,lVqb,7M47J5GA0pTYIFxg5uy,kIsH,uKAI,L84s,9fipLB8rlL,dtcNU8c,ORMASL5,azdH,cJvF,FzaX,4UxGlow,zCkv,catzS2D,LM8l689qOp,ELof,7P5s,ZI9m,ib5G6X1eUxUn6,am7c,-1
1319.9153943483761,6.792125984251968,1244.979977502812,233.87622662730212,289.2202089817697,4.5086005148607535,96.22810137839039,224.30364113493928,0.7100377945753669,2574736.7712872387,0.1675744775455758,43963.10076254189,6.119205,14.827474690663667,4.182840048950732,8,101.32972440944881,1488971.8359270787,0.5299855491329479,103291.11437697458,19.845347932414406,8.457647843485994,98067.04908670625,60.84600982915984,66.21898621609604,-2186232.0,909.6032616336286,59.77223210315696,28051.4174071991,4.0,3.501111605157848,2285474.605380169,438029.79468652734,1379.299071991001,0.05835927078701645,11.710754955714888,298170.16010414227,6186848.683414851,38.756447309915515,485944.3632725656,0.0067807914628723875,0.6106325033348154,300.0,npOBcmzkzH,RO12,no_value,taul,1K8T,uErj,Nxdw8DQ,BBhiudN5VdgIL,no_value,no_value,LWhQ,9_Y1,yrDU,VpdQ,no_value,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,no_value,NGZxnJM,i4Sx,cJvF,FzaX,bDIfGrO,oslk,s4wQZmh,LM8l689qOp,no_value,Qcbd,RAYp,F2FyR07IdsN7I,no_value,-1
1008.0,0.0,0.0,364.0,455.0,4.0,72.0,220.08,0.0,5143488.0,0.0,43963.10076254189,5.774407,9.0,3.0,26,0.0,2743120.0,0.0,124332.6,25.0,14.0,330.0,64.0,128.0,128195.2,1210.0,126.0,0.0,4.0,0.0,3850645.0,558456.0,0.0,0.0,9.0,261891.0,10636120.0,66.0,843924.0,0.0,0.0,270.5855227882038,qXhPe2ftjz,RO12,no_value,taul,1K8T,TyGl,tV41XMV,S85klZI_wB,no_value,no_value,__1B,9_Y1,mTeA,09_Q,zm5i,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,no_value,mAja5EA,RkEE,UYBR,FzaX,tzps94F,oslk,5nQ89kv,LM8l689qOp,no_value,FSa2,RAYp,F2FyR07IdsN7I,no_value,-1
3381.0,7.0,316.0,308.0,385.0,0.0,160.0,318.24,0.0,6668160.0,0.0,11131.36,6.085879,9.0,4.182840048950732,42,7.0,3168400.0,0.0,63569.1,20.0,2.0,98067.04908670625,32.0,40.0,78129.2,1385.0,138.0,9756.0,-0.569915547556417,0.0,3442755.0,235862.0,3780.0,0.0,18.0,0.0,10602000.0,48.0,142416.0,0.0,0.0,132.0,1GdOj1KXzC,RO12,no_value,taul,1K8T,X94c,IMIcpQc,ErM0Vcg68N,no_value,no_value,eXGJ,9_Y1,vYXv,VpdQ,zm5i,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,no_value,NGZXfGp,ohtB,cJvF,no_value,BUZfql_,oslk,77vzrB7,no_value,no_value,kwS7,RAYp,F2FyR07IdsN7I,no_value,-1
805.0,7.0,108.0,128.0,160.0,0.0,64.0,233.44,0.0,6410100.0,0.0,43963.10076254189,6.476394,9.0,3.0,56,0.0,0.0,0.0,211902.9,35.0,4.0,22653.0,32.0,0.0,756420.0,615.0,78.0,89811.0,-20.0,0.0,552855.0,1281662.0,735.0,0.0,27.0,0.0,10389400.0,4.0,1036800.0,0.0,0.0,366.0,1JGr4RKzJV,RO12,SEuy,taul,1K8T,pJUk,nmmMbg2,IoHCTe99VL,zGi3Gc8,smXZ,Fe8u,9_Y1,DtNL,09_Q,IYzP,me75fM6ugJ,kIsH,uKAI,Mtgm,NhsEn4L,LMxDaGv,mAja5EA,VlCh,UYBR,FzaX,KX8Ku_a,oslk,WwTr3XO,LM8l689qOp,kG3k,FSa2,RAYp,F2FyR07IdsN7I,am7c,-1
